"","x"
"1","@marinaguerges @THR @netflix Haha I love you and how long things stay in your memory"
"2","RT @ChicasCableTV: ‘Las chicas del cable’ tendrá cuarta temporada en Netflix https://t.co/baOMIPjqKk https://t.co/jQjqufMjaw"
"3","Im still in disgust that they took family guy off Netflix"
"4","Les 10 films / séries qu’il ne fallait pas manquer sur Netflix Canada et France en avril https://t.co/byx6yaBLT6 https://t.co/4NgblXis7N"
"5","Il trailer d'annuncio della seconda stagione della serie Netflix ""Tredici"" https://t.co/3pEtFKGjIx"
"6","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"7","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"8","O que houve com a fala da Marquesine? A empresa está sem fono? Isso que dá, véspera de feriado vendo tv aberta! ������ t… https://t.co/HC2gavuEti"
"9","@aggretsuko @netflix She had a lil bab"
"10","pase 5 dias sin netflix, ahora no me aparezco mas en las redes"
"11","RT @iloveputarias2_: O que vc queria pra esse sábado?

transar
comer um lanche
Netflix
transar dnv
Netflix
transar
lanche assistindo netfli…"
"12","WHAAAAAAATS????? SALIÓ UN TEASER DE 13 REASONS WHY LYM GRACIAS NETFLIX POR TANTO"
"13","RT @HugoGloss: CONFIRMADO: a segunda temporada de #13ReasonsWhy estreia no dia 18 de maio na Netflix. Ai minha nossa senhora das fitas! Kkk…"
"14","RT @HugoGloss: CONFIRMADO: a segunda temporada de #13ReasonsWhy estreia no dia 18 de maio na Netflix. Ai minha nossa senhora das fitas! Kkk…"
"15","@NetflixBrasil Agora só falta anunciar The O.A e Demolidor, nunca te pedi nada Netflix. Agiliza esse negócio aí ������"
"16","Eu deito demais pras divulgações do Netflix ������ https://t.co/C0FQAHOfTJ"
"17","@Luisa__LK Aaaah mais j’ai vu le dernier épisode sur Netflix Mais toute facon c’est qu’une théorie je sais pas du t… https://t.co/NJcorjT0rp"
"18","RT @13ReasonsWhy: @jaanki_MUFC @caseybrennan_ @netflix The truth can't stay hidden for long."
"19","@DocHousel #PopCultureProfessor 
Netflix Wins ‘Failsafe;’ Teams Michael B. Jordan &amp;amp; ‘Black Panther’ Co-Writer J… https://t.co/43cDXfXqRH"
"20","@13ReasonsWhy @netflix ������������������ https://t.co/VvshQcmDX5"
"21","RT @WesleyKrid: en ce jour de la fête du travail, je vous annonce officiellement que la saison 2 de 13Reasons Why sortiras le 18 mai 2018 s…"
"22","RT @PFTompkins: I beg of you, each and every one of you, to watch NAILED IT on Netflix"
"23","RT @BazaarUK: Claire Foy to receive £200,000 in back pay after 'The Crown' gender pay-gap dispute https://t.co/LQ2WHZ0hy6 https://t.co/1W8t…"
"24","jpense netflix ils veulent que je rate ma vie"
"25","RT @HugoGloss: CONFIRMADO: a segunda temporada de #13ReasonsWhy estreia no dia 18 de maio na Netflix. Ai minha nossa senhora das fitas! Kkk…"
"26","RT @EXOGlobal: [NEWSPIC] 180430 Sehun @ Netflix 'Busted' Press Conference

#PremiosMTVMiaw #MTVBRKPOPEXO @weareoneEXO https://t.co/YJmEaDVo…"
"27","RT @BulldogUTSA: Study days are the perfect time to nap, watch Netflix.. basically anything besides study ������"
"28","RT @BUBBLETEAHOLIC: 180430 #BUSTED_SEHUN
เซฮุน: สวัสดีครับ ผมเอ็กโซเซฮุน หลังจากสมัคร Netflix มันจะมีดูฟรี 1 เดือน ดังนั้นช่วยดูรายการ ""Bus…"
"29","FUCK!!!! I gotta get my netflix plan back like yesterday. https://t.co/guXISwUDzu"
"30","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"31","RT @sciencesaru: \\Netflix配信決定//

『夜は短し歩けよ乙女』
5/8〜 配信

『夜明け告げるルーのうた』
6/20〜 配信

お楽しみに！
#サイエンスSARU https://t.co/l9ZDd3PGsn"
"32","@heykayadams @WestworldHBO You should watch the new Lost in Space series on Netflix"
"33","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"34","RT @sgbrasilcom: INFO: A série original da Netflix, produção executiva de Selena Gomez, #13ReasonsWhy retorna para a 2ª temporada em 18 de…"
"35","RT @EzixLucasAlt: BUSCO SPONSOR!

QUE SEPA GENERAR

NFA 

SFA

FA

FORTNITE 

NETFLIX

LO MENCIONARE EN TODOS MIS SORTEOS Y LE DARE EL 50 %…"
"36","RT @BossartKilian: Ptdrrrrr ma grand-mère elle a eu Netflix y’a pas longtemps c’est pas cette nuit elle a regardé une série jusqu’à 4h00 pc…"
"37","RT @BossartKilian: Ptdrrrrr ma grand-mère elle a eu Netflix y’a pas longtemps c’est pas cette nuit elle a regardé une série jusqu’à 4h00 pc…"
"38","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"39","@alexagolden2017 Toda la fase 1 está en Netflix :)"
"40","mon enfance... jvous aime de tout mon coeur netflix https://t.co/VPBLme1ezh"
"41","RT @HugoGloss: CONFIRMADO: a segunda temporada de #13ReasonsWhy estreia no dia 18 de maio na Netflix. Ai minha nossa senhora das fitas! Kkk…"
"42","@JanniraGuirado NETFLIX"
"43","Un dia a puro Netflix������"
"44","Netflix مبتعملش حاجه وحشه"
"45","RT @weareoneEXO: 넷플릭스(Netflix) 오리지널 최초의 한국 예능 &lt;범인은 바로 너!&gt; 제작발표회에서 포착된 세훈!
탐정으로 변신한 세훈의 모습은 5월 4일에 공개됩니다!
#EXO #SEHUN #세훈 #Netflix #추리예능 #범인…"
"46","@DT2ComicsChat Netflix ideal. At this point betting it’s on the Marvel App"
"47","RT @DEADLINE: Save the date, #13ReasonsWhy fans https://t.co/Zdc3cr9lWq"
"48","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"49","@bIoomzs ""... cute and GAY and...""

omg and its on netflix too oK YOU GOT ME THANKS"
"50","RT @gretsfullido: With KPop Stars @oohsehun &amp; Kim Se-Jeong at the official press launch of their new @netflix show BUSTED which debuts on M…"
"51","@aggretsuko @netflix Pregnancy!"
"52","ate na netflix gringa tem rebelde e aqui não tem,chateada :/ https://t.co/12ZydgT2rP"
"53","RT @rulerofwind_sh: Sehun said Netflix offers a 1 month free trial so make sure to watch busted and it made everyone laugh HAHAHAHA ������������ #BUS…"
"54","#ESPECTÁCULOS | Las nuevas series y temporadas que se verán en Mayo por #Netflix ►https://t.co/hDjQGq0fsZ https://t.co/Jlax4T8r1R"
"55","RT @weareoneEXO: 넷플릭스(Netflix) 오리지널 최초의 한국 예능 &lt;범인은 바로 너!&gt; 제작발표회에서 포착된 세훈!
탐정으로 변신한 세훈의 모습은 5월 4일에 공개됩니다!
#EXO #SEHUN #세훈 #Netflix #추리예능 #범인…"
"56","RT @weareoneEXO: 넷플릭스(Netflix) 오리지널 최초의 한국 예능 &lt;범인은 바로 너!&gt; 제작발표회에서 포착된 세훈!
탐정으로 변신한 세훈의 모습은 5월 4일에 공개됩니다!
#EXO #SEHUN #세훈 #Netflix #추리예능 #범인…"
"57","RT @BaekObrien: -SeHun: ""Hola, es SeHun de EXO. Si te uniste a Netflix obtendrás un mes gratis, así que mira mucho 'Busted'. Gracias""

JAJA…"
"58","RT @missehunniverse: OMG SEHUN SAID NETFLIX HAS 1 MONTH FREE TRIAL AGAIN DURING RED CARPET LMAO HE’S PROMOTING THE FREE TRIAL SO HARD ������������������ I…"
"59","RT @WesleyKrid: en ce jour de la fête du travail, je vous annonce officiellement que la saison 2 de 13Reasons Why sortiras le 18 mai 2018 s…"
"60","RT @HugoGloss: CONFIRMADO: a segunda temporada de #13ReasonsWhy estreia no dia 18 de maio na Netflix. Ai minha nossa senhora das fitas! Kkk…"
"61","RT @jimmycthatsme: I want to put Thunder Road on @netflix . Do I know anyone who can help that happen?"
"62","RT @weareoneEXO: 넷플릭스(Netflix) 오리지널 최초의 한국 예능 &lt;범인은 바로 너!&gt; 예고편이 공개됐습니다.
오는 5월 4일 공개될 예능 새내기 ‘춤추는 탐정’ 세훈의 추리력과 예능감을 기대하세요!

#EXO #SEHUN #세훈 #…"
"63","RT @sgbrasilcom: INFO: A série original da Netflix, produção executiva de Selena Gomez, #13ReasonsWhy retorna para a 2ª temporada em 18 de…"
"64","RT @HugoGloss: CONFIRMADO: a segunda temporada de #13ReasonsWhy estreia no dia 18 de maio na Netflix. Ai minha nossa senhora das fitas! Kkk…"
"65","RT @PKennedyUpdates: COMING SOON, TO ALL...yadda yadda yadda, you all know the drill. New episode of the #EverythingSuckscast is coming soo…"
"66","RT @NetflixJP: 話題沸騰！今度は������赤ちゃんvs猫������！？

大ヒット映画「ボス・ベイビー」の最新作、
『ボス・ベイビー: ビジネスは赤ちゃんにおまかせ！』
Netflixで独占配信中！"
"67","Por favor!!! *No* comiencen con la maricada de ""EL 18 DE MAYO SALE LA SEGUNDA TEMPORADA DE 13 REASONS WHY"", ¡Hacen… https://t.co/7q2zrDo1vU"
"68","RT @_Lady_Gold_: Didn’t even go 
Spent the day watching Netflix and making cash haha https://t.co/2OQV3HEeUZ"
"69","RT @aggretsuko: Grrr... #Mondays... STRIKE THEM DOWN!!!!! #Aggretsuko @netflix https://t.co/SeVVY29xBV"
"70","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"71","RT @netflixturkiye: Kasetler sadece başlangıçtı. #13ReasonsWhy ikinci sezon, 18 Mayıs'ta sadece Netflix'te. https://t.co/9KIezS3vxu"
"72","RT @HugoGloss: CONFIRMADO: a segunda temporada de #13ReasonsWhy estreia no dia 18 de maio na Netflix. Ai minha nossa senhora das fitas! Kkk…"
"73","RT @cultrun: ¿Se comerá Netflix a Disney? https://t.co/UyP6m3Mh66 vía @elmundoes"
"74","RT @_Lady_Gold_: Didn’t even go 
Spent the day watching Netflix and making cash haha https://t.co/2OQV3HEeUZ"
"75","RT @SigueEnSerie: El 18 de mayo #Netflix estrena la segunda temporada de #13ReasonsWhy. https://t.co/228tK9VQd6"
"76","segunda temporada de 13rw é meu pau caralho netflix sua arrombada imbecil inútil, renova porra de série sem históri… https://t.co/WpWM6segnO"
"77","RT @rispuddingen: อย่าลืมสมัครสมาชิก Netflix มาดู BUSTED นะจ๊ะ ฟรีเดือนแรกนะน้อง พี่รออยู่จ้ะทุกคน~ https://t.co/pTrmCnJleu"
"78","RT @_Lady_Gold_: Didn’t even go 
Spent the day watching Netflix and making cash haha https://t.co/2OQV3HEeUZ"
"79","RT @faunbutt: i cant afford netflix but the aggretsuko characters look adorable https://t.co/2WSMalbkK5"
"80","RT @gdiego01_: ME EXPLICAN XQ ESTA SERIE TODAVIA NO ESTA EN NETFLIX https://t.co/H3ylPg6K7A"
"81","RT @theseoulstory: ������ EXO Sehun today at the red carpet event for Netflix's new variety show 'Busted!' @weareoneEXO https://t.co/dyncVIjKgH"
"82","RT @ScreenMix: بعد أكثر من مرور عام على موسمه الأول المثير للجدل، Netflix تعلن عن أول ظهور وتاريخ أول للموسم الثاني من مسلسل #13ReasonsWhy…"
"83","RT @jnf_91: Feriado y clima perfecto, nada puede salir mal netflix"
"84","RT @harryegirl: o brasileiro como sempre injustiçado olha essa netflix americana bicho https://t.co/1M1ccxQOPY"
"85","@aggretsuko @netflix Pregnancy?"
"86","RT @jlhx12_: แต่ความโอเซฮุนอะ แถลงข่าวตอนเช้าก็บอกฟค.ว่า netflix ถ้าสมัครจะดูฟรี 1 เดือนนะ งานพรมแดงเย็นก็ย้ำอีกว่า ถ้าสมัครจะดูฟรี 1 เดือน…"
"87","RT @13ReasonsWhyBRA: As fitas eram apenas o começo. A 2ª temporada de #13ReasonsWhy chega na plataforma de streaming Netflix no dia 18 de M…"
"88","RT @sexuaIss: Netflix: Are you still there?

Us: https://t.co/uKd7zLPi9J"
"89","just me and dominos as usual. LotR&amp;TH saga? or Netflix and chill, on some dominos? Netflix. pizza, you my only frie… https://t.co/vIKHOn73EJ"
"90","RT @ieuluca: O que vc queria pra esse feriado?

transar
comer um lanche
Netflix
transar dnv
Netflix
transar
Comer d nv"
"91","RT @netflixturkiye: Kasetler sadece başlangıçtı. #13ReasonsWhy ikinci sezon, 18 Mayıs'ta sadece Netflix'te. https://t.co/9KIezS3vxu"
"92","consegui colocar minha netflix no servidor dos eua e to louca com tanta opção de coisa p ver aaa"
"93","RT @PreviouslySerie: #13ReasonsWhy

⚠️ATENCIÓN⚠️

El 18 de MAYO estreno de la 2T de la serie en @netflix.

⬇️DENTRO VIDEO⬇️
https://t.co/DX…"
